,Var_Name,IV
0,Product line_Fashion accessories,0.04016031126534157
1,Product line_Sports and travel,0.04016031126534157
2,Product line_Home and lifestyle,0.04016031126534157
3,Product line_Health and beauty,0.04016031126534157
4,Product line_Food and beverages,0.04016031126534157
5,Month_March,0.04016031126534157
6,Product line_Electronic accessories,0.04016031126534157
7,Payment_Cash,0.04016031126534157
8,Gender_Male,0.04016031126534157
9,City Branch_Yangon A,0.04016031126534157
10,City Branch_Naypyitaw C,0.04016031126534157
11,City Branch_Mandalay B,0.04016031126534157
12,Payment_Ewallet,0.04016031126534157
13,Month_February,0.04016031126534157
14,Month_January,0.04016031126534157
15,Gender_Female,0.04016031126534157
16,Payment_Credit card,0.04016031126534157
17,Total,0.20719310023127246
18,cogs,0.20719310023127246
19,gross income,0.20719310023127246
20,Tax 5%,0.20719310023127246
21,Num ID,0.38504602337805666
